country,obesityRate,pop2021
Nauru,61,10.876
Cook Islands,55.9,17.565
Palau,55.3,18.169
Marshall Islands,52.9,59.61
Tuvalu,51.6,11.931
Niue,50,1.619
Tonga,48.2,106.76
Samoa,47.3,200.149
Kiribati,46,121.392
Micronesia,45.8,116.254
Kuwait,37.9,4328.55
United States of America,36.2,332915.073
Jordan,35.5,10269.021
Saudi Arabia,35.4,35340.683
Qatar,35.1,2930.528
Lebanon,33.7,6769.146
Libya,32.5,6958.532
Turkey,32.1,85042.738
Egypt,32,104258.327
United Arab Emirates,31.7,9991.089
Bahamas,31.6,396.913
New Zealand,30.8,4860.643
Iraq,30.4,41179.35
Fiji,30.2,902.906
Bahrain,29.8,1748.296
Canada,29.4,38067.903
Australia,29,25788.215
Malta,28.9,442.784
Mexico,28.9,130262.216
Argentina,28.3,45605.826
South Africa,28.3,60041.994
Chile,28,19212.361
Dominica,27.9,72.167
Uruguay,27.9,3485.151
Syria,27.8,18275.702
United Kingdom,27.8,68207.116
Dominican Republic,27.6,10953.703
Algeria,27.4,44616.624
Oman,27,5223.375
Tunisia,26.9,11935.766
Suriname,26.4,591.8
Hungary,26.4,9634.164
Lithuania,26.3,2689.862
Israel,26.1,8789.774
Morocco,26.1,37344.795
Czech Republic,26,10724.555
Iran,25.8,85028.759
Costa Rica,25.7,5139.052
Andorra,25.6,77.355
Venezuela,25.6,28704.954
Ireland,25.3,4982.907
Vanuatu,25.2,314.464
Bulgaria,25,6896.663
Greece,24.9,10370.744
Jamaica,24.7,2973.463
El Salvador,24.6,6518.499
Cuba,24.6,11317.505
Belarus,24.5,9442.862
Croatia,24.4,4081.651
Saint Vincent and the Grenadines,24.1,111.263
Belize,24.1,404.914
Ukraine,24.1,43466.819
Spain,23.8,46745.216
Nicaragua,23.7,6702.385
Latvia,23.6,1866.942
Montenegro,23.3,628.053
Barbados,23.1,287.711
Norway,23.1,5465.63
Poland,23.1,37797.005
Russia,23.1,145912.025
Saint Kitts and Nevis,22.9,53.544
Panama,22.7,4381.579
Haiti,22.7,11541.685
Luxembourg,22.6,634.814
Solomon Islands,22.5,703.996
Romania,22.5,19127.774
Colombia,22.3,51265.844
Germany,22.3,83900.473
Finland,22.2,5548.36
Belgium,22.1,11632.326
Brazil,22.1,213993.437
Iceland,21.9,343.353
Cyprus,21.8,1215.584
Albania,21.7,2872.933
Georgia,21.7,3979.765
France,21.6,65426.179
Serbia,21.5,8697.55
Honduras,21.4,10062.991
Grenada,21.3,113.021
Papua New Guinea,21.3,9119.01
Estonia,21.2,1325.185
Guatemala,21.2,18249.86
Kazakhstan,21,18994.962
Portugal,20.8,10167.925
Mongolia,20.6,3329.289
Sweden,20.6,10160.169
Slovakia,20.5,5460.721
Netherlands,20.4,17173.099
Paraguay,20.3,7219.638
Guyana,20.2,790.326
Slovenia,20.2,2078.724
Armenia,20.2,2968.127
Bolivia,20.2,11832.94
Austria,20.1,9043.07
Azerbaijan,19.9,10223.342
Ecuador,19.9,17888.475
Italy,19.9,60367.477
Saint Lucia,19.7,184.4
Denmark,19.7,5813.298
Peru,19.7,33359.418
Switzerland,19.5,8715.494
Antigua and Barbuda,18.9,98.731
Botswana,18.9,2397.241
Moldova,18.9,4024.019
Trinidad and Tobago,18.6,1403.375
Turkmenistan,18.6,6117.924
Bosnia and Herzegovina,17.9,3263.466
Namibia,17.2,2587.344
Yemen,17.1,30490.64
Lesotho,16.6,2159.079
Kyrgyzstan,16.6,6628.356
Uzbekistan,16.6,33935.763
Eswatini,16.5,1172.362
Malaysia,15.6,32776.194
Zimbabwe,15.5,15092.171
Gabon,15,2278.825
Tajikistan,14.2,9749.627
Brunei,14.1,441.532
Seychelles,14,98.908
Djibouti,13.5,1002.187
Mauritania,12.7,4775.119
Sao Tome and Principe,12.4,223.368
Cape Verde,11.8,561.898
Cameroon,11.4,27224.265
Ghana,10.9,31732.129
Mauritius,10.8,1273.433
Gambia,10.3,2486.945
Ivory Coast,10.3,27053.629
Thailand,10,69950.85
Liberia,9.9,5180.203
Democratic Republic of the Congo,9.6,5657.013
Benin,9.6,12451.04
Guinea-Bissau,9.5,2015.494
Nigeria,8.9,211400.708
Senegal,8.8,17196.301
Sierra Leone,8.7,8141.343
Maldives,8.6,543.617
South Sudan,8.6,11381.378
Mali,8.6,20855.735
Sudan,8.6,44909.353
Pakistan,8.6,225199.937
Togo,8.4,8478.25
United Republic of Tanzania,8.4,61498.437
Somalia,8.3,16359.504
Angola,8.2,33933.61
Zambia,8.1,18920.651
Equatorial Guinea,8,1449.896
Comoros,7.8,888.451
Guinea,7.7,13497.244
Central African Republic,7.5,4919.981
Mozambique,7.2,32163.047
Kenya,7.1,54985.698
Indonesia,6.9,276361.783
North Korea,6.8,25887.041
DR Congo,6.7,92377.993
Bhutan,6.4,779.898
Philippines,6.4,111046.913
China,6.2,1444216.107
Singapore,6.1,5896.686
Chad,6.1,16914.985
Rwanda,5.8,13276.513
Malawi,5.8,19647.684
Myanmar,5.8,54806.012
Burkina Faso,5.6,21497.096
Niger,5.5,25130.817
Afghanistan,5.5,39835.428
Burundi,5.4,12255.433
Laos,5.3,7379.358
Madagascar,5.3,28427.328
Uganda,5.3,47123.531
Sri Lanka,5.2,21497.31
Eritrea,5,3601.467
South Korea,4.7,51305.186
Ethiopia,4.5,117876.227
Japan,4.3,126050.804
Nepal,4.1,29674.92
Cambodia,3.9,16946.438
India,3.9,1393409.038
Timor-Leste,3.8,1343.873
Bangladesh,3.6,166303.498
Vietnam,2.1,98168.833
